,Name,Address,Boundary,City,ES_ZONENUM,IL_HOUSE,Match_addr,NetLabel1,Programs,Ref_ID,School_ID,Track,Type,User_fld,Y,ZIP,Adjusted_SU,Class,COLO,COMMAREA,ES_ZONENM,Governance,Grades,Label_Case,NetLabel2,Network,Status,WARD,Class2,Day20Count,GeoNetwork,Long_,Marker,Match_type,Open_Status,School_Typ,Short_Name,Side,UnitName,Addr_type,ARC_Street,ARC_ZIP,BndGrShort,BoundaryGr,Class3,Grade_Cat,Grades_Short,IL_SENATE,Lat,OBJECTID_1,ORACLE_ID,Pct_along,Phone,Score,Short_Desc,Status_2024,Typenum,US_CONGR,X,fillColor,fillOpacity,POINT_X,POINT_Y,coordinates,schoolHours,afterSchoolHours,earliestDropOffTime,phone,gradesOffered,websiteURL,isTitle1Eligible,studentCount,studentCountLowIncome,studentCountBlack,studentCountHispanic,studentCountWhite,contact_url,is_edlio,is_educational_networks,contact_emails
0,NOBLE - COMER,7131 S SOUTH CHICAGO AVE,Charter-Attendance Area School,"Chicago, IL",14,5,"7131 SOUTH CHICAGO AVE, 60619",Charter,,45458,400052,Non_Standard,High School Charter,0,1857891.91515,60619,0.74,Charter,1,GREATER GRAND CROSSING,Greater Stony Island,Charter,"6, 7, 8, 9, 10, 11, 12",Noble: Comer,Charter HS,Charter,M,5,,1037,17,-87.604164,red_c,A,OPEN,Traditional,NOBLE - COMER,R,Noble Street Charter - Gary Comer College Prep,Address,7131 SOUTH CHICAGO AVE,60619,9-12,"9, 10, 11, 12",Charter,HS,6-12,3,41.765252,1,66146,0,(773)729-3969,100,Noble Charter HS - Comer,Efficient,3,1,1183174.981238,#000000,1,,,"[-87.604169, 41.76526]",MON-THURS 8:00 AM - 3:30 PM | FRI 8:00 AM - 12:30 ,3:30 PM - 4:30 PM,7:45 AM,7737293969,"6,7,8,9,10,11,12",https://nobleschools.org/comer,True,989.0,823.0,965.0,20.0,0.0,https://nobleschools.org/comer/contact/,False,False,20info@nobleschools.org|info@nobleschools.org
1,NOBLE - BAKER HS,2710 E 89TH ST,Citywide,"Chicago, IL",14,25,"2710 E 89TH ST, 60617",Charter,,26604,400157,Non_Standard,High School Charter,0,1846845.199382,60617,0.22,Charter,1,SOUTH CHICAGO,Greater Stony Island,Charter,"9, 10, 11, 12",Noble: Baker Prep,Charter HS,Charter,M,7,,240,17,-87.556201,red_c,A,OPEN,Traditional,NOBLE - BAKER HS,L,Noble Street Charter Orange HS,Address,2710 E 89TH ST,60617,,,Charter,HS,9-12,13,41.734622,2,66577,35.71,(773)535-6460,100,Noble Charter School- Baker College Prep,Underutilized,3,1,1196360.492925,#000000,1,,,"[-87.556207, 41.73463]","MON - THURS 7:45 AM - 3:30 PM, FRI 7:45AM- 1:15 PM",3:30 PM - 5:00 PM,7:00 AM,7735356460,"9,10,11,12",https://nobleschools.org/baker,True,284.0,245.0,239.0,43.0,1.0,https://nobleschools.org/baker/contact/,False,False,20info@nobleschools.org|info@nobleschools.org
2,CHICAGO VOCATIONAL HS,2100 E 87TH ST,Attendance Area School,"Chicago, IL",14,33,"2100 E 87TH ST, 60617",Network,CTE_CCA||ECSS||STEM||,45578,609674,Standard,High School,0,1847733.366897,60617,0.24,Attendance Area School,0,AVALON PARK,Greater Stony Island,District,"9, 10, 11, 12",Chi Vocational HS,Network HS,Network 17,M,8,,575,17,-87.573268,red_blank,A,OPEN,Traditional,CHICAGO VOCATIONAL HS,L,Chicago Vocational Career Academy High School,Address,2100 E 87TH ST,60617,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,17,41.737174,3,53011,0,(773)535-6100,100,Chicago Vocational,Underutilized,3,1,1191694.2329,#000000,1,,,"[-87.573273, 41.737182]",8:00AM - 3:53 PM,,,7735356100,"9,10,11,12",https://chicagovocational.org,True,579.0,433.0,503.0,67.0,4.0,https://chicagovocational.org/apps/contact,False,True,
3,DUNBAR HS,3000 S KING DR,Citywide,"Chicago, IL",11,5,"3000 S KING DR, 60616",Network,CTE_CCA||,19197,609676,Standard,High School,0,1885180.896005,60616,0.22,Citywide,0,DOUGLAS,Bronzeville / South Lakefront,District,"9, 10, 11, 12",Dunbar HS,Network HS,Network 17,M,4,,367,17,-87.617637,red_circle,M,OPEN,Traditional,DUNBAR HS,R,Paul Laurence Dunbar Career Academy High School,Address,3000 S KING DR,60616,,,Citywide,HS,9-12,3,41.840226,4,53021,0,(773)534-9000,100,Dunbar Voc HS,Underutilized,3,1,1179271.713454,#000000,1,,,"[-87.617643, 41.840233]",8:00AM-3:19 PM,,7:30AM,7735349000,"9,10,11,12",https://dvca-cps.org,True,330.0,284.0,319.0,8.0,1.0,https://dvca-cps.org/apps/contact,False,True,
4,SIMEON HS,8147 S VINCENNES AVE,Citywide,"Chicago, IL",13,31,"8147 S VINCENNES AVE, 60620",Network,,40780,609692,Standard,High School,0,1850726.116817,60620,0.73,Citywide,0,CHATHAM,South Side,District,"9, 10, 11, 12",Simeon HS,Network HS,Network 17,M,6,,1077,16,-87.63541,red_circle,A,OPEN,Traditional,SIMEON HS,L,Neal F Simeon Career Academy High School,Address,8147 S VINCENNES AVE,60620,,,Citywide,HS,9-12,16,41.745781,5,53061,71.88,(773)535-3200,100,Simeon Career Academy,Efficient,3,1,1174708.089051,#000000,1,,,"[-87.635416, 41.745789]","8:00 AM - 3:23 PM, TUESDAYS 8:00 AM - 2:20 PM ",,7:15 AM,7735353200,"9,10,11,12",https://simeonca.org,True,1043.0,939.0,1018.0,17.0,0.0,https://simeonca.org/apps/contact,False,True,
5,BOGAN HS,3939 W 79TH ST,Attendance Area School,"Chicago, IL",12,32,"3939 W 79TH ST, 60652",Network,IB||,19650,609698,Standard,High School,0,1851857.856352,60652,0.45,Attendance Area School,0,ASHBURN,Greater Midway,District,"9, 10, 11, 12",Bogan HS,Network HS,Network 16,M,18,,574,16,-87.721097,red_blank,A,OPEN,Traditional,BOGAN HS,L,William J Bogan High School,Address,3939 W 79TH ST,60652,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,16,41.749376,6,46041,50,(773)535-2180,100,Bogan HS,Underutilized,3,1,1151315.281178,#000000,1,,,"[-87.721103, 41.749383]",9:00AM - 4:08 PM,,,7735352180,"9,10,11,12",https://boganhs.org,True,609.0,470.0,303.0,287.0,5.0,https://boganhs.org/apps/contact,False,True,
6,FENGER HS,11220 S WALLACE ST,Attendance Area School,"Chicago, IL",16,27,"11220 S WALLACE ST, 60628",Network,CTE_CCA||,31109,609705,Standard,High School,0,1830377.318276,60628,0.17,Attendance Area School,0,ROSELAND,Greater Calumet,District,"9, 10, 11, 12",Fenger HS,Network HS,Network 17,M,21,,210,17,-87.637572,red_blank,A,OPEN,Traditional,FENGER HS,R,Christian Fenger Academy High School,Address,11220 S WALLACE ST,60628,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,14,41.689951,7,46111,34.48,(773)535-5430,100,Fenger Academy,Underutilized,3,1,1174282.585309,#000000,1,,,"[-87.637578, 41.689959]",9:00AM - 4:27PM,4:30-7:00,7:45,7735355430,"9,10,11,12",https://fengerhighschool.org,True,206.0,159.0,187.0,16.0,2.0,https://fengerhighschool.org/apps/contact,False,True,
7,HARLAN HS,9652 S MICHIGAN AVE,Attendance Area School,"Chicago, IL",14,34,"9652 S MICHIGAN AVE, 60628",Network,CTE_CCA||Magnet_HS||Selective_Enrollment_AC||,13979,609710,Standard,High School,0,1840771.668878,60628,0.19,Attendance Area School,0,ROSELAND,Greater Stony Island,District,"9, 10, 11, 12",Harlan HS,Network HS,Network 17,M,9,High School Magnet/Academic Center,205,17,-87.620623,red_blank,A,OPEN,Traditional,HARLAN HS,R,John M Harlan Community Academy High School,Address,9652 S MICHIGAN AVE,60628,9-12,"9, 10, 11, 12",Attendance Area School/HS Magnet/Academic Center,HS,9-12,17,41.718372,8,51021,89.66,(773)535-5400,100,Harlan Comm Academy,Underutilized,3,1,1178826.060802,#000000,1,,,"[-87.620629, 41.71838]",M-TH: 8:45 AM-4:00 PM;F: 8:45 AM-3:05 PM,4:00-5:30 PM (TUTORING AND ATHLETIC STUDY TABLES),8:15 AM,7735355400,"9,10,11,12",https://www.harlanfalcons.org,True,164.0,135.0,153.0,8.0,0.0,,,,
8,HIRSCH HS,7740 S INGLESIDE AVE,Attendance Area School,"Chicago, IL",14,32,"7740 S INGLESIDE AVE, 60619",Network,,55460,609712,Standard,High School,0,1853705.476016,60619,0.11,Attendance Area School,0,GREATER GRAND CROSSING,Greater Stony Island,District,"9, 10, 11, 12",Hirsch HS,Network HS,Network 17,M,8,,104,17,-87.601727,red_blank,A,OPEN,Traditional,HIRSCH HS,R,Emil G Hirsch Metropolitan High School,Address,7740 S INGLESIDE AVE,60619,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,16,41.753748,9,47031,68.97,(773)535-3100,100,Hirsch Metro HS,Underutilized,3,1,1183875.334168,#000000,1,,,"[-87.601733, 41.753756]",8:30AM - 3:31 PM,3:31 PM - 5:30 PM,7:45 AM,7735353100,"9,10,11,12",http://hirschmetrohs.org,True,109.0,71.0,97.0,12.0,0.0,http://hirschmetrohs.org/apps/contact,True,False,
9,HYDE PARK HS,6220 S STONY ISLAND AVE,Attendance Area School,"Chicago, IL",11,25,"6220 S STONY ISLAND AVE, 60637",Network,CTE_CCA||IB||,24631,609713,Standard,High School,0,1864129.361664,60637,0.44,Attendance Area School,0,WOODLAWN,Bronzeville / South Lakefront,District,"9, 10, 11, 12",Hyde Park HS,Network HS,Network 17,M,5,,807,17,-87.586615,red_blank,A,OPEN,Traditional,HYDE PARK HS,R,Hyde Park Academy High School,Address,6220 S STONY ISLAND AVE,60637,9-12,"9, 10, 11, 12",Attendance Area School,HS,9-12,13,41.782257,10,46171,27.03,(773)535-0880,100,Hyde Park Career Academy,Underutilized,3,1,1187908.686337,#000000,1,,,"[-87.586621, 41.782265]",9:00AM - 4:15PM,4:12 PM - 7:00 PM,8;30 AM,7735350880,"9,10,11,12",https://hydeparkcps.org,True,767.0,701.0,743.0,12.0,0.0,https://hydeparkcps.org/apps/contact,True,False,
