"Elementary School","Address","Neighborhood","School Hours","Earliest Drop Off Time","After School Hours","Grades","Phone","Website","Contact Page","Provides Before Care","Provides After Care","Before Care Start Time","Before Care Provider","Before Care Info","After Care End Time","After Care Provider","After Care Info","lat","lon"
"ADDAMS","10810 S AVENUE H","East Side","08:00 AM-03:00 PM","7:50 AM","","PK-8","(773) 535-6210","http://jaddams.org","","","","","","","","","","41.698747"," -87.532982"
"ALBANY PARK","4929 N SAWYER AVE","Albany Park","08:00 AM-03:00 PM","7:45","3:15-4:15","7-8","(773) 534-5108","https://albanypark.cps.edu","https://albanypark.cps.edu/apps/contact","True","True","","","""Before- and after-school programs provide a safe, fun environment for all students to participate in academic, leisure and recreational activities outside of the traditional school day."" <a href=""https://albanypark.cps.edu/apps/pages/index.jsp?uREC_ID=3095661&type=d"">[1]</a>
""Before- and after-school programs provide a safe, fun environment for all students to participate in academic, leisure and recreational activities outside of the traditional school day."" <a href=""https://albanypark.cps.edu/apps/pages/index.jsp?uREC_ID=3095661&type=d&pREC_ID=2352890"">[2]</a>
","","","""Before- and after-school programs provide a safe, fun environment for all students to participate in academic, leisure and recreational activities outside of the traditional school day."" <a href=""https://albanypark.cps.edu/apps/pages/index.jsp?uREC_ID=3095661&type=d"">[1]</a>
""Before- and after-school programs provide a safe, fun environment for all students to participate in academic, leisure and recreational activities outside of the traditional school day."" <a href=""https://albanypark.cps.edu/apps/pages/index.jsp?uREC_ID=3095661&type=d&pREC_ID=2352890"">[2]</a>
","41.971512"," -87.710615"
"ALCOTT ES","2625 N ORCHARD ST","Lincoln Park","7:30AM - 2:30PM","7:30 AM","2:45 PM - 6:30 PM J AT SCHOOL AFTER-CARE PROGRAM","PK-8","(773) 534-5460","https://alcottelementary.net","https://alcottelementary.net/apps/contact","True","True","","Apollo","""We welcome Apollo for our general before and after care this year."" <a href=""https://www.alcottelementary.net/apps/pages/index.jsp?uREC_ID=300684&type=d&termREC_ID=&pREC_ID=562697"">[1]</a>
""Register Now for Before and After Care with Apollo"" <a href=""https://www.alcottelementary.net/apps/news/?id=1"">[2]</a>
","","Apollo","""We welcome Apollo for our general before and after care this year."" <a href=""https://www.alcottelementary.net/apps/pages/index.jsp?uREC_ID=300684&type=d&termREC_ID=&pREC_ID=562697"">[1]</a>
""Register Now for Before and After Care with Apollo"" <a href=""https://www.alcottelementary.net/apps/news/?id=1"">[2]</a>
","41.929858"," -87.646419"
"ALDRIDGE","630 E 131ST ST","Riverdale","08:30 AM-03:30 PM","","","PK-8","(773) 535-5614","https://aldridge.cps.edu","https://aldridge.cps.edu/apps/contact","","","","","","","","","41.657413"," -87.60648"
"ARIEL","1119 E 46TH ST","Kenwood","08:15 AM-03:15 PM","8:15 AM","","PK-8","(773) 535-1996","https://arielcommunityacademy.cps.edu","https://arielcommunityacademy.cps.edu/apps/contact","","","","","","","","","41.811181"," -87.597509"
"ARMOUR","950 W 33RD PL","Bridgeport","8:15 AM TO 3:15 PM","7:00AM","3:15 PM TO 5:00 PM","PK-8","(773) 535-4530","https://armourelementary.org/","https://armourelementary.org/apps/contact","True","True","7:00 a.m.","Certified CPS teachers and paraprofessionals","""Before school care begins at 7:00 a.m."" <a href=""https://www.armourelementary.org/apps/pages/index.jsp?uREC_ID=340163&type=d"">[1]</a>
","5:00 PM","Kids To Pros","""Beginning this year, Armour will offer **on-site before and after school care** Mondays-Fridays at the Branch Building

- After School Care from 3:15 to 5:00 PM"" <a href=""https://www.armourelementary.org/apps/pages/index.jsp?uREC_ID=356792&type=d"">[1]</a>
""KidstoPros
OpentostudentsingradesPK-4th,ouron-siteafterschoolcareprogramisfee-basedandspaceislimited.ProgrammingandregistrationishandledbyKidstoPros,andcareisprovidedintheBranchBuildingfromMonday-Fridays,3:15to5:00PM."" <a href=""https://www.armourelementary.org/pdfs/SY24_Armour_Student_Parent_Handbook_2.pdf"">[2]</a>
","41.833862"," -87.650659"
"ARMSTRONG G","2110 W GREENLEAF AVE","West Ridge","07:45 AM-02:45 PM","","","PK-8","(773) 534-2150","https://georgearmstrongelementary.org","https://georgearmstrongelementary.org/apps/contact","","True","","","","","","""AfterCare"" <a href=""https://www.georgearmstrongelementary.org/apps/pages/?uREC_ID=101639&type=d"">[1]</a>
","42.010158"," -87.684448"
"ASHBURN","8300 S ST LOUIS AVE","Ashburn","07:30 AM-02:30 PM","7:20 AM","3:00-5:00 ","PK-8","(773) 535-7860","https://ashburnschool.com","https://ashburnschool.com/apps/contact","","","","","","","","","41.742358"," -87.709615"
"ASHE","8505 S INGLESIDE AVE","Chatham","07:45 AM-02:45 PM","","","PK-8","(773) 535-3550","https://ashe.cps.edu","https://ashe.cps.edu/apps/contact","","","","","","","","","41.740192"," -87.60118"
"AUDUBON","3500 N HOYNE AVE","North Center"," 08:00 AM-03:00 PM","07:45 AM","","PK-8","(773) 534-5470","https://audubonelementary.org","https://audubonelementary.org/apps/contact","True","True","7:00 AM","Right At School","""Right At School"" <a href=""https://www.audubonelementary.org/apps/pages/index.jsp?uREC_ID=178647&type=d"">[1]</a>
","6:00 PM","Right At School","""Right At School"" <a href=""https://www.audubonelementary.org/apps/pages/index.jsp?uREC_ID=178647&type=d"">[1]</a>
","41.94507"," -87.681047"
"AVALON PARK","8045 S KENWOOD AVE","Avalon Park","07:45 AM-02:45 PM","","","PK-8","(773) 535-6615","https://avalonparkarts.org/","https://avalonparkarts.org/apps/contact","","","","","","","","","41.748255"," -87.59166"
"AVONDALE-LOGANDALE","3212 W GEORGE ST","Avondale","08:00 AM-03:00 PM","","3:00-6:00 PM","PK-8","(773) 534-5350","http://avondalelogandaleschool.org/","http://avondalelogandaleschool.org/apps/contact","","","","","","","","","41.933978"," -87.708047"
"AZUELA","4707 W MARQUETTE RD","West Lawn","08:00 AM - 03:00 PM","","","K-8","(773) 535-7395","http://azuela.cps.edu","","","True","","","","","Northeastern Illinois University (NEIU)","""NEIU offers free, after-school programming at Mariano Azuela Elementary."" <a href=""http://azuela.cps.edu/uploads/8/8/1/9/88191054/neiu__21st_century_3.pdf"">[1]</a>
","41.771087"," -87.739926"
"BARNARD","10354 S CHARLES ST","Beverly","08:15 AM-03:15 PM","8:00 AM","","PK-8","(773) 535-2625","https://barnard.cps.edu","https://barnard.cps.edu/apps/contact","","","","","","","","","41.705139"," -87.65808"
"BARRY","2828 N KILBOURN AVE","Hermosa","08:30 AM-03:30 PM","8:15 AM","3:30 PM - 4:45PM","PK-6","(773) 534-3455","https://barry.cps.edu","https://barry.cps.edu/apps/contact","True","True","8:15 AM","","""inscribirse para antes y después de cuidado de niños, un programa basado en honorarios que ofrecemos"" <a href=""https://www.barryschool.org/apps/pages/index.jsp?uREC_ID=417349&type=d"">[1]</a>
""Early Drop Off

8:15 AM

—

—"" <a href=""https://www.barryschool.org/apps/bell_schedules/"">[2]</a>
","","","""inscribirse para antes y después de cuidado de niños, un programa basado en honorarios que ofrecemos"" <a href=""https://www.barryschool.org/apps/pages/index.jsp?uREC_ID=417349&type=d"">[1]</a>
","41.932518"," -87.739394"
"BARTON","7650 S WOLCOTT AVE","Auburn Gresham","08:45 AM-03:45 PM","8:30 AM","4:00-5:00PM","PK-8","(773) 535-3260","https://bartonschoolchicago.org","https://bartonschoolchicago.org/apps/contact","True","True","7:30 AM","","""Before School Hours | 7:30 AM | 8:30 AM | 60 min"" <a href=""https://www.bartonschoolchicago.org/apps/bell_schedules/"">[1]</a>
","5:30 PM","","""After School Hours | 4:00 PM | 5:30 PM | 90 min"" <a href=""https://www.bartonschoolchicago.org/apps/bell_schedules/"">[1]</a>
","41.754202"," -87.670933"
"BASS","1140 W 66TH ST","Englewood","08:00 AM-03:00 PM","","","PK-8","(773) 535-3275","https://perkinsbasselementary.org/","https://perkinsbasselementary.org/apps/contact","","","","","","","","","41.774254"," -87.653538"
"BATEMAN","4220 N RICHMOND ST","Irving Park","08:15 AM-03:15 PM","8:05 AM","","PK-8","(773) 534-5055","http://bateman.cps.edu","","True","True","7:15 AM","Morning Care","""**Morning Care at Bateman**
---------------------------

**For students who are currently enrolled  
Preschool -OR- Kindergarten through 5th Grade  
7:15am-8:15am**"" <a href=""http://bateman.cps.edu/morning-care.html"">[1]</a>
""If your family is in need of Morning Care (7:15am - 8:15am), register today! Bateman is proud to offer our community extended hours to accommodate all family schedules."" <a href=""http://bateman.cps.edu/news/archives/08-2023"">[2]</a>
","5:00 PM","FORGE After School, Neighborhood Boys and Girls Club (NBGC)","""*   Before & After School 
    *   [PreK After Care](/prek-after-care.html) 
    *   FORGE After School 
    *   [After School [FORGE & Sports]](/after-school-forge--sports.html)"" <a href=""http://bateman.cps.edu/bateman-art-blog/charcoal-techniques-and-charcoal-eye-rendering"">[1]</a>
""Bateman partners with the Neighborhood Boys & Girls Club to provide after care for students in grades Kindergarten - 8th Grade."" <a href=""http://bateman.cps.edu/news/archives/08-2023"">[2]</a>
","41.958228"," -87.702157"
"BEARD","6445 W STRONG ST","Norwood Park","07:30 AM - 02:30 PM","7:30AM","2:30PM","PK-3","(773) 534-1228","https://beard.cps.edu","https://beard.cps.edu/contact.html","","","","","","","","","41.970133"," -87.789636"
